feature,mean_abs_shap
HU-RO Schedule_t+180min,205.1340107988333
Estimated Solar Power Production (Current)_t+30min,203.55320298694784
System Direction (kWh)_t-240min,202.22609425219733
Gross System Load Forecast (Day-Ahead)_t+150min,201.5894497991822
HU-UA Schedule_t+495min,200.84804904812887
HU-AT Schedule_t+480min,199.96198828592037
HU-SK Schedule_t+195min,199.71177246231383
Gross Actual Power Plant Generation_t-255min,199.54454041506864
HU-UA_t-150min,197.91373903642437
HU-RS_t-225min,197.25152308462864
HU-UA_t-270min,197.12331779489548
HU-RO Schedule_t+255min,197.09064624051362
HU-UA Schedule_t+465min,196.68478248577722
10m_wind_speed_mean,196.2509883078017
Solar Power Plants Net (Operational Control)_t-30min,196.2056062893802
HU-HR Schedule_t+15min,195.90270222626302
Solar Power Plants Net (Operational Control)_t-60min,195.59519618611117
HU-UA Schedule_t+690min,195.28533307773324
HU-AT Schedule_t+555min,194.81019935165898
HU-UA Schedule_t+585min,194.00198052492948
HU-RO Schedule_t+585min,193.98372676886726
Estimated Solar Power Production (Day-Ahead)_t+375min,193.03851547461477
Activated Negative aFRR Balancing Energy (kWh)_t-15min,193.0365986454804
HU-AT_t-105min,192.9994540675531
Solar Power Plants Net (Operational Control)_t-105min,192.1196247386266
HU-RO Schedule_t+600min,191.87864738141766
System Direction (kWh)_t-60min,191.26885780400477
Estimated Solar Power Production (Intraday)_t+105min,191.25725594963166
Solar Power Plants Net (Operational Control)_t-75min,191.1870017534497
System Direction (kWh)_t-225min,191.0650996646969
Gross Actual Power Plant Generation_t-345min,190.32514893048454
Requested Negative aFRR Balancing Energy (kWh)_t-45min,189.98332664470544
Estimated Solar Power Production (Current)_t+270min,189.97984043524204
Positive GCC Energy (kWh)_t-60min,189.81204078241095
Estimated Solar Power Production (Current)_t+120min,189.78086300933649
HU-HR Schedule_t+195min,189.73621235678547
ssrd_mean_t+30min,189.35315719164637
HU-SK Schedule_t+150min,188.80208778343862
HU-SK Schedule_t+105min,188.44937294792618
HU-UA Schedule_t+90min,188.40899613718133
HU-UA_t-255min,185.05458499901926
HU-HR Schedule_t+90min,184.0295768621332
HU-AT Schedule_t+15min,183.9305320185769
HU-AT_t-90min,183.89586123399098
Estimated Solar Power Production (Current)_t+420min,183.47911391002188
Gross Actual Power Plant Generation_t-285min,182.51217426043493
Estimated Wind Power Production (Intraday)_t+150min,181.73906621087932
Estimated Solar Power Production (Intraday)_t+135min,181.01756498130507
Solar Power Plants Net (Operational Control)_t-165min,180.6928815142964
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-30min,180.4989481825332
