feature,mean_abs_shap
Activated Positive aFRR Balancing Energy Cost (HUF)_t-15min,1420.5619972827847
Gross Planned Power Plant Generation_t+60min,1420.3765248264995
HU-SK Schedule_t+90min,1415.3322535075574
Requested Negative aFRR Balancing Energy (kWh)_t-30min,1413.6192057885116
HU-SK Schedule,1411.438108040442
Gross Planned Power Plant Generation_t+105min,1402.5029967378327
HU-RO Schedule_t+60min,1402.1262168254912
ssrd_mean_t+60min,1401.9351870399537
Solar Power Plants Net (Operational Control)_t-15min,1398.0474420906157
ssrd_mean,1396.8893276709998
Positive GCC Energy (kWh)_t-30min,1396.003074920439
HU-AT Schedule_t+420min,1385.0735102811639
Solar Power Plants Net (Operational Control)_t-165min,1383.92899161346
Gross System Load Forecast (Day-Ahead)_t+225min,1375.2073989964274
Gross Actual Power Plant Generation_t-225min,1373.6427685799565
Estimated Wind Power Production (Intraday)_t+165min,1370.0256472045328
Gross Planned Power Plant Generation_t+75min,1359.1942875426607
HU-SK,1347.9848689939072
Estimated Solar Power Production (Intraday)_t+150min,1337.1349350380788
Gross Planned Power Plant Generation_t+420min,1336.1850745171737
Positive GCC Energy (kWh)_t-45min,1330.713774215134
Estimated Solar Power Production (Intraday)_t+195min,1330.1027504930294
Estimated Wind Power Production (Intraday)_t+105min,1329.3124477780832
HU-AT Schedule_t+60min,1326.884274992592
HU-AT_t-525min,1316.9952981739368
Solar Power Plants Net (Operational Control),1313.7589798686777
Wind Power Actual - Net Commercial Settlement_t-30min,1308.9457459469884
Wind Power Actual - Net Operational Control_t-30min,1305.337757700809
HU-AT Schedule,1298.6893006438454
HU-UA Schedule_t+435min,1291.8646313356926
Gross Actual Power Plant Generation_t-300min,1291.684152406604
Gross Certified System Load (Actual)_t-15min,1287.795033377709
Gross Actual Power Plant Generation_t-255min,1279.6236982306223
Solar Power Plants Net (Operational Control)_t-330min,1275.633161294667
HU-SK Schedule_t+270min,1275.4787942455564
HU-AT Schedule_t+30min,1265.9483082712914
HU-AT_t-495min,1260.4193055532517
Estimated Solar Power Production (Current)_t+60min,1258.8773100314233
Solar Power Plants Net (Operational Control)_t-180min,1258.1380705291047
ssrd_std_t+75min,1256.672661563206
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-45min,1247.3084416745323
HU-SK_t-30min,1238.9944202816466
HU-AT Schedule_t+270min,1229.359228117626
HU-RO Schedule_t+75min,1228.7622856632388
HU-HR Schedule_t+75min,1227.9994165331375
dayofweek_sin,1226.4547127160372
HU-HR Schedule_t+60min,1224.608534186797
Gross Certified System Load (Actual)_t-600min,1215.2128548316173
Estimated Wind Power Production (Current)_t+165min,1215.181085213443
HU-HR Schedule_t+105min,1210.6016734595457
Estimated Solar Power Production (Intraday)_t+90min,1210.0816018230016
Estimated Solar Power Production (Intraday)_t+180min,1203.854998245537
Wind Power Actual - Net Operational Control_t-15min,1199.4812784891506
HU-UA Schedule_t+690min,1191.8811092143667
System Direction (kWh)_t-45min,1190.287263443736
Activated Positive aFRR Balancing Energy Cost (HUF)_t-45min,1185.0591076554178
100m_wind_speed_mean_t+15min,1179.8870234116152
Estimated Solar Power Production (Current)_t+225min,1175.599703743607
Gross Planned Power Plant Generation_t+45min,1170.934862703742
10m_wind_speed_mean_t+75min,1169.8485903109597
HU-AT Schedule_t+540min,1166.9955800386888
Estimated Wind Power Production (Current)_t+105min,1164.205784007119
Estimated Solar Power Production (Day-Ahead)_t+375min,1164.181358480013
HU-SK Schedule_t+285min,1156.7683892107038
Gross System Load Forecast (Day-Ahead)_t+240min,1151.9867271669345
HU-RO Schedule,1142.4269885352687
HU-AT Schedule_t+390min,1142.0105103514786
Solar Power Plants Net (Operational Control)_t-300min,1134.4331106228246
Estimated Solar Power Production (Day-Ahead)_t+315min,1130.691893497436
HU-SK Schedule_t+255min,1128.1593312198454
HU-AT Schedule_t+180min,1126.310554771892
Gross Actual Power Plant Generation_t-210min,1124.1530473466792
HU-RO Schedule_t+45min,1118.937792586154
HU-SK Schedule_t+45min,1118.6718278008098
Activated Positive aFRR Balancing Energy Cost (HUF)_t-60min,1117.2525348253266
HU-UA Schedule_t+255min,1116.563514264384
Requested Positive aFRR Balancing Energy (kWh)_t-15min,1114.1874766520732
Positive GCC Energy (kWh)_t-15min,1111.7800140178315
HU-AT Schedule_t+285min,1109.3716903088614
HU-AT Schedule_t+255min,1100.157749460348
Wind Power Actual - Net Commercial Settlement_t-45min,1098.5606024287745
HU-UA Schedule_t+705min,1095.7180581901303
Estimated Solar Power Production (Day-Ahead)_t+360min,1091.3793097428788
HU-RO Schedule_t+300min,1087.2671831153511
Estimated Solar Power Production (Day-Ahead)_t+285min,1086.655917495686
HU-AT Schedule_t+510min,1083.3679260315942
Requested Negative aFRR Balancing Energy (kWh)_t-300min,1076.76626256687
Activated Negative aFRR Balancing Energy Cost (HUF),1074.3466601149944
Requested Positive aFRR Balancing Energy (kWh)_t-45min,1073.3998054889962
HU-HR Schedule_t+375min,1071.4007321655877
Activated Positive aFRR Balancing Energy (kWh)_t-15min,1064.2385965044705
HU-UA_t-270min,1063.9754852517515
HU-UA_t-420min,1059.4736668827802
