Target,MAE,RMSE,R2,SMAPE
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,5615612592128.0,5615726197936.306,-3.388542418105743e+21,200.0
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+15min,2013009674240.0,2013050301095.449,-4.354219801698988e+20,200.0
System Direction (kWh)_t+15min,1141170797281280.0,1141193825918022.8,-1.7329818996499347e+21,200.0
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,1522676531200.0,1522707453175.6362,-2.4914439144976312e+20,200.0
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+30min,2813292707840.0,2813349780193.8486,-8.504829753182231e+20,200.0
System Direction (kWh)_t+30min,2759725062029312.0,2759780975522248.5,-1.0134247579488595e+22,200.0
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,1311990874112.0,1312017498667.59,-1.8496619680364075e+20,200.0
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+45min,4523261165568.0,4523353291976.211,-2.198538837117081e+21,200.0
System Direction (kWh)_t+45min,1524621853589504.0,1524652924646031.5,-3.0928836358436605e+21,200.0
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,6819216359424.0,6819354527649.9,-4.99683498446002e+21,200.0
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+60min,4667039285248.0,4667133677447.554,-2.3405015860460304e+21,200.0
System Direction (kWh)_t+60min,436355121283072.0,436364002159745.1,-2.533389667370774e+20,200.0
Negative Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,3427147710464.0,3427217387447.866,-1.2620965001361673e+21,200.0
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t+75min,4529195581440.0,4529287386401.715,-2.2042913412161166e+21,200.0
System Direction (kWh)_t+75min,612525888503808.0,612538263351736.2,-4.991815159725362e+20,200.0
