feature,mean_abs_shap
Estimated Solar Power Production (Day-Ahead)_t+195min,18.113424
System Direction (kWh)_t-450min,18.063288
HU-HR Schedule_t+15min,17.92542
Solar Power Plants Net (Operational Control)_t-390min,17.889797
Estimated Solar Power Production (Current)_t+45min,17.874435
Gross Planned Power Plant Generation_t+165min,17.814924
Activated Negative aFRR Balancing Energy Cost (HUF),17.715124
Negative GCC Energy (kWh)_t-75min,17.674408
Estimated Solar Power Production (Day-Ahead)_t+240min,17.662924
Activated Negative aFRR Balancing Energy (kWh)_t-30min,17.648603
HU-AT Schedule_t+135min,17.52052
Activated Positive aFRR Balancing Energy (kWh)_t-30min,17.494442
HU-UA Schedule_t+465min,17.428656
Estimated Solar Power Production (Current)_t+135min,17.358816
Estimated Solar Power Production (Intraday),17.35632
Negative GCC Energy (kWh)_t-135min,17.355442
Requested Negative aFRR Balancing Energy (kWh)_t-75min,17.120945
Estimated Solar Power Production (Current)_t+120min,17.087603
HU-HR Schedule_t+60min,17.012299
Wind Power Actual - Net Commercial Settlement_t-15min,17.006638
HU-HR Schedule_t+30min,16.945778
Solar Power Plants Net (Operational Control)_t-375min,16.85265
Estimated Solar Power Production (Day-Ahead)_t+45min,16.802233
Solar Power Plants Net (Operational Control)_t-60min,16.678846
Requested Positive aFRR Balancing Energy (kWh)_t-285min,16.586168
Negative GCC Energy (kWh)_t-120min,16.542723
Estimated Solar Power Production (Current)_t+240min,16.4331
System Direction (kWh)_t-495min,16.426208
Solar Power Plants Net (Operational Control)_t-210min,16.334085
HU-UA Schedule_t+60min,16.218887
Solar Power Plants Net (Operational Control)_t-180min,16.218025
Estimated Solar Power Production (Current)_t+255min,16.207275
HU-SK Schedule_t+180min,16.205114
Activated Positive aFRR Balancing Energy Cost (HUF)_t-45min,16.133156
HU-AT Schedule_t+435min,16.113619
Solar Power Plants Net (Operational Control)_t-45min,16.031626
HU-SK Schedule_t+210min,15.980702
Solar Power Plants Net (Operational Control)_t-480min,15.942012
System Direction (kWh)_t-525min,15.913895
HU-AT Schedule_t+600min,15.9137335
HU-UA Schedule,15.913644
Solar Power Plants Net (Operational Control)_t-165min,15.883628
Requested Positive aFRR Balancing Energy (kWh)_t-270min,15.773929
Activated Positive aFRR Balancing Energy Cost (HUF),15.70133
Requested Positive aFRR Balancing Energy (kWh)_t-225min,15.698209
HU-UA Schedule_t+585min,15.692832
Estimated Solar Power Production (Intraday)_t+120min,15.381568
Solar Power Plants Net (Operational Control)_t-435min,15.28162
Estimated Solar Power Production (Day-Ahead)_t+30min,15.192212
HU-AT Schedule_t+510min,15.147187
Estimated Solar Power Production (Intraday)_t+165min,15.14464
HU-SK_t-150min,15.116237
Requested Positive aFRR Balancing Energy (kWh)_t-255min,15.080236
HU-UA Schedule_t+705min,14.859268
System Direction (kWh)_t-465min,14.804641
Requested Negative aFRR Balancing Energy (kWh)_t-165min,14.617196
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-15min,14.505474
Positive Balancing Energy Unit Price for Balance Groups (HUF/kWh)_t-45min,14.455073
Gross Planned Power Plant Generation_t+195min,14.452569
Solar Power Plants Net (Operational Control)_t-75min,14.407786
System Direction (kWh)_t-120min,14.364676
Solar Power Plants Net (Operational Control)_t-90min,14.162172
HU-AT Schedule_t+210min,14.138898
Estimated Solar Power Production (Intraday)_t+75min,14.124191
Estimated Solar Power Production (Day-Ahead)_t+120min,14.114708
HU-UA Schedule_t+45min,14.0457115
Solar Power Plants Net (Operational Control)_t-30min,14.0456
HU-RO Schedule_t+435min,13.98925
Estimated Solar Power Production (Current)_t+150min,13.978108
Requested Negative aFRR Balancing Energy (kWh)_t-150min,13.863039
Gross Planned Power Plant Generation_t+150min,13.797898
HU-RO Schedule_t+315min,13.793538
